"category","answerable","builtStatus","expectedTool","question","note"
"dashboard-overview","now","wired","explainTile","What's driving the change in our burn multiple this quarter?","Tile change explanation"
"dashboard-overview","decline","na","decline","How does our Rule of 40 compare to other Series B SaaS companies?","External-market / non-Bearing benchmark data out of scope"
"dashboard-overview","gap","none","getBoardPackage","Show me the board package for June.","Board Package module not built"
"dashboard-overview","gap","stub","setDriver","If we cut S&M 20%, what happens to runway on the dashboard?","Scenarios engine not wired (setDriver/compareScenarios)"
"dashboard-overview","gap","none","lockBudget","Lock our current forecast as the budget so the dashboard variance is fixed.","No lockBudget tool / budget-set action not built"
"dashboard-overview","gap","none","getRevenueForecast","What assumptions is the revenue tile built on?","Revenue Forecast driver surface/tool not built"
"dashboard-overview","gap","none","getPersonnelForecast","Drill the headcount tile down to the hiring plan.","Personnel driver tool not built; no getHeadcount tool"
"dashboard-overview","gap","none","getHeadcount","What's our current headcount on the dashboard?","No getHeadcount tool wired"
"dashboard-overview","gap","stub","compareScenarios","Compare this scenario's dashboard to base.","Scenario Dashboard / compareScenarios not wired"
"dashboard-overview","gap","none","getPipelineCoverage","What's our pipeline coverage on the dashboard?","No Pipeline tool wired"
"dashboard-overview","ambiguous","wired","getBookingsHistory","How much net new ARR did we book this quarter, per the bookings tile?","Single-period phrasing risks getContracts instead of getBookingsHistory"
"dashboard-overview","decline","na","decline","Set up a tile to track our cap table dilution.","Cap table out of scope (Carta's job)"
"dashboard-overview","decline","na","decline","Close the books for June so the dashboard updates.","Running the close / posting JEs is the ERP's job, out of scope"
"dashboard-overview","decline","na","decline","What will the dashboard look like in FY28?","Beyond the Dec 2026 seed horizon"
"dashboard-overview","ambiguous","wired","getMetric","What's the revenue number I should put on the dashboard â€” monthly or annual?","Monthly framing risks getMonthlyPnL vs the annual revenue metric"
"dashboard-overview","ambiguous","wired","getCustomers","Give me ARR broken out by customer segment.","By-segment phrasing should hit getCustomers, bare ARR would be getMetric"
"profitability-metrics","now","wired","getMetric","What's our gross margin right now?","gross_margin_pct in catalog"
"profitability-metrics","now","wired","getMetric","What was FY26 revenue?","revenue metric / getPnL"
"profitability-metrics","now","wired","getMetric","Net income for FY26?","net_income in catalog"
"profitability-metrics","now","wired","getMetric","What's our net margin?","net_margin_pct in catalog"
"profitability-metrics","now","wired","getMetric","Show me operating income.","operating_income in catalog"
"profitability-metrics","now","wired","getMetric","What's gross profit this year?","gross_profit in catalog"
"profitability-metrics","now","wired","getMetric","How did gross margin change year over year?","catalog carries PY comparison"
"profitability-metrics","now","wired","getMonthlyPnL","Revenue this quarter vs last quarter?","monthly P&L rolls to quarter"
"profitability-metrics","now","wired","getPnL","What's our operating margin %?","P&L shows Operating Margin % line"
"profitability-metrics","now","wired","getPnL","Break down the P&L for me.","annual P&L"
"profitability-metrics","now","wired","getMonthlyPnL","Walk me through the monthly P&L for the year.","monthly view wired"
"profitability-metrics","now","wired","getMonthlyPnL","Which month had the best gross margin?","which-month is getMonthlyPnL"
"profitability-metrics","now","wired","getMetric","How much did we lose last year?","net_income with PY"
"profitability-metrics","now","wired","getPnL","What's the gross margin on subscription vs services?","P&L has stream lines; CoR assembled"
"profitability-metrics","now","wired","getPnL","Why is net income negative?","P&L lines explain composition"
"profitability-metrics","now","wired","getPnL","Compare revenue to budget for FY26.","P&L Budget column"
"profitability-metrics","now","wired","explainVariance","What's the variance on operating expenses vs plan?","variance tool over P&L"
"profitability-metrics","now","wired","explainVariance","Explain the gross margin variance to budget.","explainVariance wired"
"profitability-metrics","now","wired","getMonthlyPnL","What were total operating expenses in May?","May is actual, monthly P&L"
"profitability-metrics","now","wired","getMonthlyPnL","Revenue in May?","monthly P&L"
"profitability-metrics","now","wired","getMonthlyPnL","How much revenue do we forecast for Q4?","Jul-Dec forecast in seed"
"profitability-metrics","now","wired","getMetric","What's our net margin trending toward by year end?","net_margin_pct FY"
"profitability-metrics","now","wired","getMonthlyPnL","Show me gross profit by quarter.","monthly rolls to quarter"
"profitability-metrics","now","wired","getPnL","What's our total cost of revenue this year?","P&L Total Cost of Revenue line"
"profitability-metrics","now","wired","getPnL","How much of revenue is subscription?","P&L Subscription / Total Revenue"
"profitability-metrics","now","wired","getMetric","What's our EBIT?","operating_income = EBIT"
"profitability-metrics","now","wired","explainVariance","Did revenue beat budget in June?","June in close; variance available"
"profitability-metrics","now","wired","getMetric","How fast is revenue growing?","revenue_growth in catalog"
"profitability-metrics","now","wired","getMetric","What's the revenue growth rate FY26?","revenue_growth ~61%"
"profitability-metrics","now","wired","getMetric","How much did gross margin improve since last year?","PY comparison in tile"
"profitability-metrics","now","wired","getMetric","What's net income excluding stock comp?","non-GAAP reconciliation in seed"
"profitability-metrics","now","wired","getDashboard","Give me revenue, gross profit, and net income in one line.","dashboard tiles"
"profitability-metrics","now","wired","getPnL","What's our D&A expense this year?","P&L D&A line"
"profitability-metrics","now","wired","getPnL","How big is the indirect payroll line on the P&L?","P&L Indirect Payroll line"
"profitability-metrics","now","wired","explainVariance","What drove the operating income miss vs budget?","explainVariance"
"profitability-metrics","now","wired","getMonthlyPnL","What was net margin in the worst month?","which-month monthly P&L"
"profitability-metrics","now","wired","getPnL","How much non-employee cost of revenue did we book?","P&L Non-employee CoR line"
"profitability-metrics","now","wired","explainVariance","What's our gross margin target vs actual?","GM% budget variance"
"profitability-metrics","now","wired","getMonthlyPnL","Revenue per the forecast for the rest of the year?","forecast months"
"profitability-metrics","now","wired","getMonthlyPnL","How profitable were we last December?","seed covers prior Dec"
"profitability-metrics","now","wired","getPnL","What share of revenue went to S&M?","P&L S&M line over revenue"
"profitability-metrics","now","wired","getMetric","What's our total revenue run rate?","revenue / ARR tile"
"profitability-metrics","now","wired","getMonthlyPnL","Is gross margin getting better or worse month over month?","monthly P&L trend"
"profitability-metrics","now","wired","getPnL","How much did interest and taxes hit net income?","P&L Interest/Other, Taxes"
"profitability-metrics","now","wired","getPnL","What's the gap between operating income and net income?","P&L below-EBIT lines"
"profitability-metrics","now","wired","getDashboard","Summarize our profitability for the board.","answerable from tiles even pre-Board-Package"
"profitability-metrics","ambiguous","wired","getMetric","What's our gross margin?","bare GM may route to getPnL line vs getMetric tile; both correct but tool differs"
"profitability-metrics","ambiguous","wired","getPnL","Show me the P&L.","annual getPnL vs monthly getMonthlyPnL"
"profitability-metrics","ambiguous","wired","getPnL","What were operating expenses?","FY getPnL vs single-month getMonthlyPnL depending on intent"
"profitability-metrics","gap","stub","setDriver","If we cut S&M 20%, what happens to operating income?","scenario engine not wired"
"profitability-metrics","gap","stub","compareScenarios","Model a path to breakeven net income.","scenarios engine + preset not wired"
"profitability-metrics","gap","none","getCostOfRevenue","Bump the hosting cost rate and show the new gross margin.","Cost of Revenue driver surface not built/wired"
"profitability-metrics","gap","none","getPersonnelForecast","Raise the headcount plan and tell me the hit to operating margin.","Personnel driver not wired"
"profitability-metrics","gap","none","lockBudget","Lock this forecast as the FY26 budget.","budget lock not wired"
"profitability-metrics","gap","none","getBoardPackage","Export the profitability section of the board package.","Board Package not built"
"profitability-metrics","gap","na","decline","What gross margin should we forecast for FY28?","seed horizon ends Dec 2026; no data past it"
"profitability-metrics","decline","na","decline","How does our net margin compare to Numeric and Campfire?","non-Bearing external-market data out of scope"
"profitability-metrics","decline","na","decline","What's the tax-optimal way to structure this loss carryforward?","tax/legal advice out of scope"
"profitability-metrics","decline","na","decline","Post the month-end accrual so the P&L closes correctly.","close + JE posting is the ERP's job; Dogfood reads a clean close"
"profitability-metrics","decline","na","decline","What will revenue be in 2030?","beyond seed horizon, no basis"
"growth-retention-metrics","now","wired","getMetric","What's our ARR right now?","arr_mrr point-in-time"
"growth-retention-metrics","now","wired","getMetric","What's MRR?","arr_mrr / 12"
"growth-retention-metrics","now","wired","getMetric","What is our net revenue retention?","nrr cohort i-12"
"growth-retention-metrics","now","wired","getMetric","What's our gross revenue retention?","grr"
"growth-retention-metrics","now","wired","getMetric","What is logo retention?","logo_retention"
"growth-retention-metrics","now","wired","getMetric","How fast are we growing revenue?","revenue_growth YoY"
"growth-retention-metrics","now","wired","getMetric","What's our YoY revenue growth for FY26?","revenue_growth ~61%"
"growth-retention-metrics","now","wired","getMetric","Give me ARR as of May.","arr_mrr period=2026-05"
"growth-retention-metrics","now","wired","getMetric","What was ARR at the end of FY25?","arr_mrr period=2025-12"
"growth-retention-metrics","now","wired","getMetric","How does NRR compare to last year?","getMetric two periods; tile carries PY"
"growth-retention-metrics","now","wired","explainTile","Explain the NRR number on the dashboard.","explainTile nrr"
"growth-retention-metrics","now","wired","explainTile","Walk me through how ARR is calculated.","basis string / product-knowledge"
"growth-retention-metrics","now","wired","getMetric","Is our NRR above 100%?","nrr 109%"
"growth-retention-metrics","now","wired","getMetric","What's our magic-number-adjacent growth efficiency look like on the retention side?","nrr/grr; could also pull dashboard"
"growth-retention-metrics","now","wired","getDashboard","Show me the growth and retention tiles.","getDashboard family"
"growth-retention-metrics","now","wired","getMetric","What's the gap between gross and net retention?","getMetric nrr & grr"
"growth-retention-metrics","now","wired","getMetric","How much of our retention is expansion vs just keeping logos?","nrr vs logo_retention/grr framing"
"growth-retention-metrics","now","wired","getMetric","What's our ARR growth quarter over quarter?","arr_mrr across quarters"
"growth-retention-metrics","now","wired","getMetric","Is logo churn improving?","logo_retention trend; tile carries trend"
"growth-retention-metrics","now","wired","getMetric","What's the dollar churn rate?","grr complement"
"growth-retention-metrics","now","wired","getMetric","Net retention for the i-12 cohort?","nrr is exactly i-12 cohort"
"growth-retention-metrics","now","wired","getMetric","What's our annual recurring revenue versus our total revenue?","arr_mrr + revenue metric"
"growth-retention-metrics","now","wired","getMetric","How much MRR did we add this year?","arr_mrr delta /12"
"growth-retention-metrics","now","wired","getMetric","What's our revenue growth rate over the last twelve months?","revenue_growth"
"growth-retention-metrics","now","wired","getMetric","Has NRR moved since Q1?","getMetric nrr two periods"
"growth-retention-metrics","now","wired","getMetric","What's our exit ARR for the year?","arr_mrr period=2026-12"
"growth-retention-metrics","now","wired","getMetric","Are we a Rule-of-40 company on the growth side?","revenue_growth feeds rule_of_40"
"growth-retention-metrics","now","wired","getMetric","What's logo retention vs net dollar retention â€” which is healthier?","getMetric logo_retention & nrr"
"growth-retention-metrics","now","wired","explainTile","Give me the one-line retention story for the board.","explainTile nrr / product-knowledge"
"growth-retention-metrics","now","wired","getMetric","What's our subscription ARR specifically?","arr_mrr is subscription book"
"growth-retention-metrics","now","wired","getMetric","How does our growth rate this year compare to last year?","revenue_growth two periods"
"growth-retention-metrics","now","wired","explainTile","What does the ARR tile say it's based on?","basis string"
"growth-retention-metrics","now","wired","getMetric","Net retention number please.","nrr"
"growth-retention-metrics","now","wired","getMetric","GRR?","grr"
"growth-retention-metrics","now","wired","getMetric","What share of ARR did we retain gross of expansion?","grr"
"growth-retention-metrics","now","wired","getMetric","How much did ARR grow from a year ago?","arr_mrr YoY"
"growth-retention-metrics","now","wired","getMetric","What's our MRR in June?","arr_mrr/12 period=2026-06"
"growth-retention-metrics","now","wired","getMetric","Are we retaining revenue better than we retain logos?","nrr vs logo_retention"
"growth-retention-metrics","now","wired","getMetric","What's revenue growth excluding services?","revenue_growth; arr_mrr is subscription proxy"
"growth-retention-metrics","now","wired","getDashboard","Summarize ARR, NRR, and growth in one shot.","getDashboard or multi getMetric"
"growth-retention-metrics","ambiguous","wired","getCustomers","What's our ARR by customer segment?","may wrongly hit getMetric arr_mrr (bare) instead of getCustomers"
"growth-retention-metrics","ambiguous","wired","getCustomers","Which customers are driving our ARR?","customer-level -> getCustomers, not getMetric"
"growth-retention-metrics","ambiguous","wired","getCustomer","What's the ARR for our biggest account?","needs getCustomers to find id then getCustomer; risks getMetric"
"growth-retention-metrics","ambiguous","wired","getMetric","What's our churn rate?","logo_retention (logo) vs grr (dollar) ambiguity"
"growth-retention-metrics","ambiguous","wired","getCustomers","How many logos did we lose this quarter?","churned LOGOS -> getCustomers; may wrongly hit getMetric logo_retention (a rate)"
"growth-retention-metrics","ambiguous","wired","getMetric","What's our retention by cohort?","only i-12 cohort wired; finer cohort detail is gap; bare may answer one cohort"
"growth-retention-metrics","gap","none","product-knowledge","Show me the full NRR cohort retention curve by signup month.","no per-signup-cohort retention surface; only i-12 NRR exists"
"growth-retention-metrics","gap","none","product-knowledge","What's our net dollar retention broken out per cohort year?","cohort-detail surface not built"
"growth-retention-metrics","gap","stub","getNrr","Open the Renewals worklist and tell me retention from it.","Renewals register + getNrr/getGrr composed-not-wired"
"growth-retention-metrics","gap","stub","getGrr","What's our renewal rate on contracts up for renewal this quarter?","Renewals register not built; getGrr not wired"
"growth-retention-metrics","gap","none","getRevenueForecast","What's our forecasted NRR for next year?","no forecast-driver retention projection tool"
"growth-retention-metrics","gap","stub","compareScenarios","If we add the planned hires, what does NRR look like in the upside scenario?","Scenarios engine stub; setDriver/compareScenarios not wired"
"growth-retention-metrics","decline","na","decline","How does our NRR compare to Numeric and Campfire?","non-Bearing external-market data out of scope"
"growth-retention-metrics","decline","na","decline","What's the median SaaS NRR for our stage so I can benchmark?","external-market data not in seed"
"growth-retention-metrics","decline","na","decline","Project our ARR out to FY29.","beyond Dec 2026 seed horizon"
"growth-retention-metrics","now","wired","getBookingsHistory","Give me net new ARR split into new logos, expansion, and contraction this quarter.","bookings Î”ARR new/expansion/contraction"
"growth-retention-metrics","now","wired","getBookingsHistory","What were bookings this year vs last year?","getBookingsHistory YoY"
"growth-retention-metrics","now","wired","getBookingsHistory","How much expansion ARR did existing customers add?","bookings expansion line"
"growth-retention-metrics","gap","none","product-knowledge","What's our gross churn in dollars per cohort over their first year?","per-cohort churn detail surface not built; only aggregate grr"
"growth-retention-metrics","gap","stub","getRenewals","Which renewing accounts are at risk and how does that hit GRR?","Renewals register not built (no listRenewals/getGrr wired)"
"unit-economics","now","wired","getMetric","What's our CAC right now?","cac_payback metric computes dollar CAC per new logo"
"unit-economics","now","wired","getMetric","What's our CAC payback period?","cac_payback metric"
"unit-economics","now","wired","getMetric","How much does it cost us to acquire a customer?","cac_payback (dollar CAC per logo)"
"unit-economics","now","wired","getMetric","What's our LTV to CAC ratio?","ltv_cac metric, ~4.3x"
"unit-economics","now","wired","getMetric","Is our LTV:CAC healthy?","ltv_cac with basis string benchmarking"
"unit-economics","now","wired","getMetric","What's the magic number?","magic_number ~1.2x"
"unit-economics","now","wired","getMetric","How efficient is our sales spend?","magic_number metric"
"unit-economics","now","wired","getMetric","What's our services utilization?","utilization metric"
"unit-economics","now","wired","getMetric","How utilized is the professional services team?","utilization metric (blended, not per-team)"
"unit-economics","now","wired","getDashboard","Give me the unit economics summary.","Unit Economics tile family on the dashboard"
"unit-economics","now","wired","explainTile","Walk me through how we calculate magic number.","explainTile / metric basis string (trailing-12 net ARR / prior-Q S&M)"
"unit-economics","now","wired","explainTile","How is CAC computed exactly?","explainTile gives the one-quarter-lag S&M basis"
"unit-economics","now","wired","explainTile","What goes into the LTV number?","explainTile / ltv_cac basis (5-yr lifetime cap, 0.05 churn floor)"
"unit-economics","now","wired","getMetric","What's our CAC per new logo this year?","cac_payback labeled CAC per new logo, ~$129K"
"unit-economics","now","wired","getMetric","Is the magic number above 1?","magic_number 1.2x"
"unit-economics","now","wired","getMetric","What's our payback in months for FY26?","cac_payback metric for the period"
"unit-economics","now","wired","getMetric","How does our LTV:CAC compare to the 3x rule of thumb?","ltv_cac 4.3x vs 3-5x band"
"unit-economics","now","wired","getMetric","Are we acquiring customers efficiently?","magic_number / cac_payback"
"unit-economics","now","wired","getMetric","What's our blended CAC including services customers?","cac_payback is blended by construction"
"unit-economics","now","wired","getMetric","How long until a new customer pays back their acquisition cost?","cac_payback metric"
"unit-economics","now","wired","explainTile","What does the magic number tell us about scaling sales?","explainTile narrative on magic_number"
"unit-economics","now","wired","explainTile","Show me the LTV:CAC tile.","ltv_cac tile via explainTile/getMetric"
"unit-economics","now","wired","getMetric","What's our sales efficiency looking like heading into FY26?","magic_number metric"
"unit-economics","now","wired","getMetric","Is our customer acquisition cost trending up or down?","cac_payback with PY on the tile path"
"unit-economics","now","wired","getMetric","What's utilization on the delivery side?","utilization metric"
"unit-economics","now","wired","getMetric","Are we under or over the magic number benchmark for efficient growth?","magic_number 1.2x vs ~0.75 efficiency line"
"unit-economics","now","wired","getDashboard","Give me CAC, LTV:CAC, magic number, and utilization in one shot.","Unit Economics family on getDashboard"
"unit-economics","now","wired","getMetric","How does our CAC payback stack up against budget?","cac_payback tile carries budget comparison"
"unit-economics","now","wired","explainTile","Why is our LTV:CAC where it is?","explainTile breaks ltv_cac into LTV and CAC components"
"unit-economics","now","wired","getMetric","What's our magic number for FY26 versus the efficiency threshold?","magic_number metric for the period"
"unit-economics","gap","none","getMetric","What's our CAC by channel?","needs S&M-by-channel breakout in Expense/Personnel drivers; no tool"
"unit-economics","gap","none","getMetric","Break down CAC by acquisition source for me.","no channel-attribution driver surface or tool"
"unit-economics","gap","none","getMetric","How much of our CAC is paid marketing vs sales salaries?","needs S&M program-vs-payroll split tool; not wired"
"unit-economics","gap","none","getMetric","What's our CAC payback for the enterprise segment vs SMB?","no segment-level CAC; only blended wired"
"unit-economics","gap","none","getMetric","What's LTV:CAC for our enterprise cohort?","no cohort/segment LTV:CAC tool"
"unit-economics","gap","stub","getMetric","Show me CAC payback trend month by month this year.","metric returns a point figure; no monthly CAC series tool"
"unit-economics","gap","none","getMetric","What's the magic number for our subscription motion vs services?","magic_number is blended; no per-stream split tool"
"unit-economics","gap","none","getMetric","Which sales rep has the best CAC efficiency?","needs Pipeline+Staff registers; no rep-level tool"
"unit-economics","gap","none","getMetric","What's utilization by person on the services team?","needs Projects/Staff register; listProjects/getUtilization-by-person not wired"
"unit-economics","gap","none","getMetric","Show me utilization by project.","no Projects register tool wired"
"unit-economics","gap","none","getMetric","What's our utilization broken out by department?","only blended utilization wired"
"unit-economics","gap","none","getMetric","How much S&M spend went into acquiring our biggest customer?","no per-account CAC attribution; needs deep CAC tool"
"unit-economics","gap","none","getMetric","What's the LTV of a typical services-led customer vs SaaS-first?","no motion-segmented LTV tool"
"unit-economics","gap","none","getMetric","What's our fully-loaded CAC including CS and onboarding cost?","blended CAC uses S&M only; loaded-CAC variant not built"
"unit-economics","gap","stub","setDriver","How would a 20% cut to S&M change our magic number?","Scenarios engine stub; setDriver not wired"
"unit-economics","gap","stub","setDriver","If we double ad spend, what happens to CAC payback?","scenario lever on Expense S&M; engine not built"
"unit-economics","gap","stub","setDriver","Model LTV:CAC if churn drops to 5%.","Scenarios engine stub"
"unit-economics","gap","none","getExpenseForecast","What's our CAC by campaign in the marketing budget driver?","Expense Forecast driver surface + tool not built"
"unit-economics","decline","na","decline","What did we spend on Google Ads to get those leads?","non-Bearing external ad-platform data; out of scope"
"unit-economics","decline","na","decline","How does our CAC compare to Numeric's or Campfire's?","external-market / competitor data out of scope"
"unit-economics","decline","na","decline","What's the industry-standard LTV:CAC for AI-native FP&A companies?","non-Bearing external benchmark; out of scope"
"unit-economics","decline","na","decline","Project our CAC payback for FY28.","data beyond Dec 2026 seed horizon"
"unit-economics","ambiguous","wired","getMetric","What's our payback?","may misroute to getCashFlow/runway instead of cac_payback"
"unit-economics","ambiguous","wired","getMetric","What's our LTV?","LTV only lives inside ltv_cac; bare ask may route to getCustomer ARR"
"unit-economics","ambiguous","wired","getMetric","What's our efficiency?","could hit burn_multiple/rule_of_40 instead of magic_number"
"cash-efficiency","ambiguous","wired","getMetric","What's our current runway?","runway is on getMetric, getCashFlow, and getDashboard â€” could route to any"
"cash-efficiency","now","wired","getMetric","How many months of runway do we have left?","runway metric ~49mo"
"cash-efficiency","now","wired","getMetric","What's our Rule of 40 for FY26?","rule_of_40 ~25%"
"cash-efficiency","now","wired","getMetric","Are we above or below the Rule of 40 threshold?","rule_of_40 25%, below 40"
"cash-efficiency","now","wired","getMetric","What's our burn multiple?","burn_multiple ~0.6x"
"cash-efficiency","now","wired","getMetric","How much cash are we burning per month?","net_burn metric"
"cash-efficiency","now","wired","getMetric","What's our net burn right now?","net_burn metric"
"cash-efficiency","now","wired","getBalanceSheet","How much cash do we have on the balance sheet?","cash line on balance sheet"
"cash-efficiency","now","wired","getCashFlow","Show me the cash flow forecast for the rest of FY26","getCashFlow covers forecast months"
"cash-efficiency","now","wired","getCashFlow","What was our operating cash flow in Q1?","getCashFlow period-scoped"
"cash-efficiency","now","wired","getMetric","Is our burn multiple healthy for a Series B company?","0.6x is excellent; basis string explains"
"cash-efficiency","now","wired","explainTile","Walk me through why our burn multiple is so low","annual-prepay structurally lowers burn; explainTile/getMetric basis"
"cash-efficiency","now","wired","explainTile","How does our Rule of 40 break down between growth and margin?","growth 61% + margin component; pane-only metric drill"
"cash-efficiency","now","wired","explainTile","What's driving our net burn this month?","explainTile drills net_burn into lines"
"cash-efficiency","now","wired","getMetric","What's our free cash flow margin?","FCF -15% via non-GAAP reconciliation"
"cash-efficiency","now","wired","getMetric","Compare GAAP loss to free cash flow","getNonGaapReconciliation: -52% GAAP vs -15% FCF"
"cash-efficiency","now","wired","getCashFlow","How much did we spend vs bring in last month on a cash basis?","getCashFlow monthly"
"cash-efficiency","now","wired","getDashboard","Give me the dashboard cash and efficiency tiles","Rule of 40, burn multiple, net burn, runway tiles"
"cash-efficiency","ambiguous","wired","getCashFlow","Runway â€” show me the cash flow detail behind it","runway tile vs the cash flow statement it derives from"
"cash-efficiency","now","wired","getMonthlyPnL","How did our net burn change quarter over quarter?","monthly P&L / cash flow trend supports QoQ"
"cash-efficiency","now","wired","getCashFlow","Is our burn improving or getting worse?","trend over forecast months"
"cash-efficiency","now","wired","getCashFlow","What's our cash position at year end?","ending cash Dec 2026 in horizon"
"cash-efficiency","now","wired","getMetric","When do we run out of cash at the current burn rate?","runway ~49mo implies date"
"cash-efficiency","now","wired","getMetric","How much of our cash burn is non-cash SBC vs real?","SBC added back; non-GAAP reconciliation"
"cash-efficiency","now","wired","getMetric","What's our Rule of 40 trending toward next year?","FY27 still inside seed? seed ends Dec 2026 â€” FY27 is beyond horizon"
"cash-efficiency","decline","none","getCashFlow","Project our cash position through 2028","beyond Dec 2026 seed horizon â€” no data"
"cash-efficiency","gap","stub","compareScenarios","What happens to runway if we double S&M spend?","Scenarios engine stubbed; setDriver/compareScenarios not wired"
"cash-efficiency","gap","stub","compareScenarios","If we cut headcount by 20%, how much runway do we gain?","needs Scenarios engine (Personnel lever) â€” stub"
"cash-efficiency","gap","stub","compareScenarios","Model a breakeven scenario and show me the burn","Breakeven preset needs the scenario engine â€” stub"
"cash-efficiency","gap","none","getPersonnelForecast","Break down net burn by department","needs Personnel/Expense driver tools â€” none wired"
"cash-efficiency","gap","none","getExpenseForecast","Which expense drivers are pushing our cash burn up?","Expense Forecast driver has no Scout tool"
"cash-efficiency","gap","none","getCostOfRevenue","How much of our burn is hosting and infra cost?","Cost of Revenue driver tool not wired"
"cash-efficiency","gap","none","getArForecast","What's our DSO and how is it affecting cash?","AR Forecast driver (DSO) has no tool"
"cash-efficiency","decline","na","decline","Should we raise another round given our runway?","investment/financing advice â€” out of scope"
"cash-efficiency","decline","na","decline","What valuation should we target for the next raise?","valuation/financing advice out of scope"
"cash-efficiency","decline","na","decline","How does our burn multiple compare to other AI startups?","external/non-Bearing market data out of scope"
"cash-efficiency","now","wired","getMetric","What's net burn in May?","net_burn at May period"
"cash-efficiency","ambiguous","wired","getCashFlow","Net burn vs the cash flow statement for May â€” do they tie?","net_burn metric vs getCashFlow statement detail"
"cash-efficiency","now","wired","getMetric","How efficient is our spend relative to growth?","burn_multiple is the efficiency-vs-growth metric"
"cash-efficiency","now","wired","getDashboard","Give me Rule of 40, burn multiple, and runway in one shot","Cash & Efficiency family on getDashboard"
"cash-efficiency","now","wired","getMetric","What's our annual cash burn for FY26?","net_burn aggregated FY26"
"cash-efficiency","now","wired","getCashFlow","How much did the Series B add to our cash?","financing section ~$20M Series B"
"cash-efficiency","now","wired","getCashFlow","What's our cash flow from operations vs investing vs financing?","getCashFlow full statement"
